,AUC
1,0.9257996031746034
2,0.6599999999999999
3,0.8388789682539681
4,1.0
5,0.97
6,0.885
7,0.8800416666666668
8,0.6754761904761905
9,0.9949999999999999
10,0.9949999999999999
11,0.9972222222222221
12,0.9199999999999999
13,1.0
14,1.0
15,1.0
16,0.9949999999999999
17,1.0
18,1.0
19,0.9930000000000001
20,0.7183472222222221
